State,District,Market,Commodity,Variety,Grade,Modal Price,Year,Month,Week,Day,Price_Range,Mid_Price,Volatility
11,6,455,35,307,0,6000.0,2023,7,30,27,500.0,6250.0,0.07998720204767237
11,6,455,38,307,0,4000.0,2023,7,30,27,500.0,4250.0,0.11761938367442955
11,6,455,55,307,0,6000.0,2023,7,30,27,400.0,6200.0,0.06450572488308337
11,6,455,62,307,0,4000.0,2023,7,30,27,500.0,4250.0,0.11761938367442955
11,6,455,63,307,0,2000.0,2023,7,30,27,500.0,2250.0,0.22212350066637052
11,6,455,66,307,0,5000.0,2023,7,30,27,500.0,5250.0,0.09521995810321844
16,208,499,22,62,0,8200.0,2023,7,30,27,200.0,8200.0,0.024387269845140835
16,208,499,26,71,0,5500.0,2023,7,30,27,200.0,5500.0,0.03635702599527359
16,208,499,27,307,0,8700.0,2023,7,30,27,200.0,8700.0,0.022985863693828296
16,208,499,31,80,0,7100.0,2023,7,30,27,200.0,7100.0,0.02816504717645402
16,208,499,83,178,0,6500.0,2023,7,30,27,200.0,6500.0,0.030764497769573913
16,208,499,88,176,0,20500.0,2023,7,30,27,200.0,20500.0,0.009755621676991367
16,208,499,119,247,0,9200.0,2023,7,30,27,300.0,9150.0,0.03278330237132554
16,208,499,147,6,0,11200.0,2023,7,30,27,200.0,11200.0,0.017855548611731095
16,208,499,167,307,0,11300.0,2023,7,30,27,200.0,11300.0,0.017697548889478807
16,208,499,168,331,0,4500.0,2023,7,30,27,200.0,4500.0,0.04443457009553432
16,208,499,212,421,0,13100.0,2023,7,30,27,200.0,13100.0,0.015266010228226852
17,100,459,14,307,0,2200.0,2023,7,30,27,500.0,2250.0,0.22212350066637052
17,100,459,21,56,0,4200.0,2023,7,30,27,500.0,4250.0,0.11761938367442955
17,100,459,22,62,0,4500.0,2023,7,30,27,200.0,4500.0,0.04443457009553432
17,100,459,27,73,0,4500.0,2023,7,30,27,1000.0,4500.0,0.22217285047767163
17,100,459,63,118,0,3800.0,2023,7,30,27,500.0,3750.0,0.13329778725673153
17,100,459,66,134,0,4800.0,2023,7,30,27,500.0,4750.0,0.10524100189433803
17,100,459,147,307,0,2200.0,2023,7,30,27,500.0,2250.0,0.22212350066637052
17,100,459,165,307,0,4200.0,2023,7,30,27,500.0,4250.0,0.11761938367442955
17,100,459,167,330,0,1900.0,2023,7,30,27,200.0,1900.0,0.10520778537611783
17,100,459,168,331,0,1300.0,2023,7,30,27,200.0,1300.0,0.15372790161414296
17,100,459,175,307,0,3200.0,2023,7,30,27,500.0,3250.0,0.15379883112888343
17,100,459,189,307,0,2800.0,2023,7,30,27,500.0,2750.0,0.1817520901490367
17,100,459,212,421,0,11500.0,2023,7,30,27,1000.0,11500.0,0.08694896095991653
19,13,788,21,56,0,1500.0,2023,7,30,27,0.0,1500.0,0.0
